 
root [4] .L ../Angles.C 
root [5] .L ../PDG_ZA.C 

root [5] tree->Scan("Nevent:Reaction:Nhits:PDG_ZA(PDGchit):Enhit:PhiDeg(dXhit,dYhit):ThetaDeg(dZhit):Thit","Volhit==3")
***********************************************************************************************************************
*    Row   * Instance *    Nevent *  Reaction *     Nhits * PDG_ZA(PD *     Enhit * PhiDeg(dX * ThetaDeg( *      Thit *
*        8 *        1 *    443483 *         7 *        16 *        22 * 0.1571116 * 235.74889 * 76.621595 * 0.8021412 *
*        8 *        2 *    443483 *         7 *        16 *        22 * 0.4880052 * 83.221743 * 2.2733852 * 0.8026657 *
*        8 *        3 *    443483 *         7 *        16 *        22 * 0.4262362 * 327.43782 * 57.269626 * 0.8025886 *
*        8 *        4 *    443483 *         7 *        16 *        22 * 1.1245875 * 352.58413 * 114.85899 * 0.8027912 *
*        8 *        5 *    443483 *         7 *        16 *        22 * 1.3266078 * 105.52938 * 131.99991 * 0.8029428 *
*        8 *        6 *    443483 *         7 *        16 *        22 * 1.5174541 * 100.20440 * 86.760809 * 0.8030748 *
*        8 *        7 *    443483 *         7 *        16 *        22 * 1.6834512 * 251.33882 * 158.04029 * 0.8024508 *
*        8 *        8 *    443483 *         7 *        16 *      2112 * 1.4155701 * 247.34832 * 125.47415 * 6.6023588 *
*        8 *        9 *    443483 *         7 *        16 *      2112 * 4.4444512 * 11.769495 * 40.909543 * 3.9439558 *
*        8 *       10 *    443483 *         7 *        16 *      2212 * 11.255137 * 294.10407 * 80.038918 * 2.6582113 *
Type <CR> to continue or q to quit ==> 
*        8 *       11 *    443483 *         7 *        16 *      2112 * 4.5696895 * 345.98874 * 94.351723 * 3.8952360 *
*        8 *       12 *    443483 *         7 *        16 *     10020 * 16.994148 * 352.57528 * 161.38313 * 2.9858482 *
*        8 *       13 *    443483 *         7 *        16 *     10020 * 20.207400 * 266.64190 * 63.340021 * 2.7763972 *
*        8 *       14 *    443483 *         7 *        16 *     10030 * 27.889139 * 129.07575 * 13.471553 * 2.8747359 *
*        8 *       15 *    443483 *         7 *        16 *     10030 * 49.821790 * 172.45859 * 53.341075 * 2.2775582 *
*        9 *        0 *    491358 *         8 *         9 *        22 * 2.6691447 * 208.64863 * 100.57773 * 0.8027695 *
*        9 *        1 *    491358 *         8 *         9 *      2212 * 10.739695 * 165.90580 * 27.122682 * 2.7107093 *
